date,var,depth,site,value
2021-11-16,temp,200,600411,5
2021-11-16,temp,200,600413,5
2021-11-16,temp,300,600409,5.7
2021-11-16,temp,300,600410,5.1
2021-11-16,temp,300,600411,4.9
2021-11-16,temp,300,600413,4.9
2021-11-16,temp,400,600409,6
2021-11-16,temp,400,600410,4.9
2021-11-16,temp,400,600411,5.1
2021-11-16,temp,400,600413,5.1
2021-11-16,temp,500,600409,6
2021-11-16,temp,500,600410,5.1
2021-11-16,temp,500,600411,5.4
2021-11-16,temp,500,600413,4.9
2021-11-16,temp,600,600409,6.3
2021-11-16,temp,600,600410,5.5
2021-11-16,temp,600,600411,5.8
2021-11-16,temp,600,600413,5.5
2021-11-17,smc,300,600409,41.7
2021-11-17,smc,300,600410,38.9
2021-11-17,smc,300,600411,40.3
2021-11-17,smc,300,600413,38.5
2021-11-17,smc,450,600409,40
2021-11-17,smc,450,600410,38.2
2021-11-17,smc,450,600411,44.5
2021-11-17,smc,450,600413,39.4
2021-11-17,smc,600,600409,41.8
2021-11-17,smc,600,600410,36.1
2021-11-17,smc,600,600411,47.4
2021-11-17,smc,600,600413,33.2
2021-11-17,smc,750,600409,40.2
2021-11-17,smc,750,600410,34.8
2021-11-17,smc,750,600411,46
2021-11-17,smc,750,600413,30.5
2021-11-17,smc,900,600409,40
2021-11-17,smc,900,600410,40.7
2021-11-17,smc,900,600411,42.5
2021-11-17,smc,900,600413,36
2021-11-17,temp,035,600409,3.5
2021-11-17,temp,035,600410,5.1
2021-11-17,temp,035,600411,5.2
